clienteid,produtoid,distribuidorid,dataid,quantidadevendida,faturamento,custofrete
21,1,7,1358,57,112.48,0.93
24,53,5,1131,6,136.40,6.78
8,99,2,1474,99,8190.76,120.35
41,45,30,862,43,2912.06,280.50
17,32,26,494,74,7026.02,340.71
41,14,30,1145,95,5136.29,158.92
42,7,18,214,87,7343.70,23.65
5,82,14,41,42,3093.00,253.74
45,77,26,265,50,4834.33,154.65
16,27,17,888,31,2813.70,273.18
46,29,6,846,72,3599.94,315.03
16,6,8,1699,84,6170.50,187.33
16,74,30,416,67,316.88,5.60
30,44,21,1644,79,1181.55,104.72
2,33,23,1147,73,2568.45,124.95
46,10,28,120,28,1369.31,74.32
37,11,22,1462,47,4553.33,34.17
31,25,17,1486,28,920.44,12.95
5,25,2,1482,43,2700.16,222.39
29,37,29,821,22,177.21,6.54
45,26,27,1404,93,4187.83,332.90
14,79,4,1303,85,2142.13,45.63
6,3,17,339,48,2548.89,18.61
29,27,1,416,62,2010.19,179.54
43,30,21,787,43,4205.88,133.34
11,79,18,202,16,1395.91,79.91
24,85,20,1287,47,208.71,14.40
38,88,21,1054,56,4289.97,17.57
32,34,19,1024,47,2773.38,259.83
35,43,22,172,27,2231.18,64.84
30,42,3,319,35,950.56,75.08
18,3,1,35,73,338.23,16.83
46,92,12,71,52,1077.83,89.79
23,86,30,634,41,2548.40,250.16
7,68,8,378,85,4982.59,196.07
40,58,7,1319,61,3638.91,118.16
16,25,14,894,65,6108.82,303.85
50,87,27,934,5,179.08,15.42
30,45,28,137,15,113.21,7.25
24,40,14,1066,65,3848.41,74.80
39,83,27,1257,18,677.17,45.46
34,36,16,300,80,1817.95,79.80
45,33,27,1222,10,255.44,20.01
18,5,15,1251,40,1784.99,166.93
10,31,12,737,77,4209.82,338.92
4,88,22,931,73,7040.05,47.57
36,19,17,756,26,1100.98,91.33
38,32,13,317,40,1349.38,89.76
4,10,21,1317,48,733.03,15.50
19,87,24,1608,25,141.74,7.11
32,34,18,858,71,2150.25,213.80
44,5,1,906,41,2777.56,240.35
22,1,4,221,19,1435.03,74.44
50,1,19,1711,19,530.53,32.07
21,53,12,1477,58,1024.57,48.04
30,41,10,700,100,8725.23,163.56
49,98,26,765,53,4780.84,333.03
39,15,28,1098,35,1563.95,44.33
2,47,8,272,27,2326.33,66.86
20,38,3,866,32,35.08,1.66
15,43,24,591,68,4495.12,400.00
11,3,9,377,85,545.62,17.37
34,28,12,1045,89,8103.80,38.64
7,88,13,1339,62,2507.86,187.81
39,88,19,1420,1,97.39,8.53
20,51,4,778,25,1364.38,121.04
33,20,21,1544,61,1033.95,73.24
25,61,1,379,92,6194.48,452.70
9,10,4,453,89,3298.59,86.95
37,72,16,473,70,1730.19,40.65
5,18,21,1564,77,7277.87,564.09
12,41,12,641,90,5392.75,277.60
34,73,6,216,44,644.18,37.46
32,48,19,103,47,2956.76,26.17
32,83,7,1363,63,5510.36,516.28
41,22,5,872,2,189.62,0.22
20,96,12,575,98,7641.06,290.79
8,95,4,1539,1,52.32,0.52
18,16,28,123,48,4642.39,149.02
39,15,25,1200,29,2135.40,193.34
17,11,13,911,25,1342.41,120.14
27,45,18,1642,33,922.20,75.30
37,74,29,295,21,1109.50,16.86
45,81,9,1538,26,1401.46,79.30
12,59,3,692,47,4507.99,295.43
35,49,23,94,66,3452.54,91.61
32,60,24,974,24,420.27,32.89
15,11,15,398,88,8268.71,691.74
19,45,22,1587,46,908.14,35.47
7,14,18,24,55,1717.46,135.56
39,42,25,1512,83,50.35,0.93
14,81,15,392,9,340.64,5.20
6,44,5,906,83,2994.16,231.26
45,97,25,1749,90,5779.82,76.41
4,35,29,262,90,4319.03,415.99
33,97,23,1306,92,2098.98,134.15
16,97,18,58,94,5740.11,155.39
44,3,25,174,49,3104.65,130.33
35,27,16,1132,83,4039.55,193.59
34,75,10,1692,17,597.10,8.14
3,86,8,106,39,3537.72,217.30
39,63,21,963,21,1506.75,84.22
26,8,16,507,41,2266.86,89.33
37,97,1,1075,35,1936.11,44.87
4,27,27,1580,93,4527.63,51.55
21,8,1,1728,99,7767.68,387.05
30,59,17,723,42,1907.21,175.98
5,67,1,503,65,2948.48,231.94
39,47,12,766,4,159.13,6.46
12,18,15,506,55,24.56,0.49
29,20,21,1504,76,2374.09,101.42
39,5,11,269,42,1497.69,74.48
11,79,26,880,58,530.89,11.14
29,32,6,699,5,147.45,5.38
33,54,15,575,22,1134.62,24.95
14,98,28,1440,79,6822.84,77.17
20,57,16,461,12,762.57,57.01
44,78,2,413,11,666.60,25.07
35,83,1,184,84,322.33,26.72
12,82,19,318,23,1531.35,142.62
21,35,25,1416,23,1245.50,84.17
15,76,27,1089,13,1102.27,66.88
36,56,13,846,31,1750.77,153.16
11,69,4,51,8,643.74,52.60
14,67,29,299,100,5465.05,76.47
48,12,21,1390,27,302.93,27.72
4,71,11,670,8,94.55,6.64
36,51,14,1122,93,7715.12,323.39
38,19,14,340,45,819.84,3.25
7,25,21,105,31,1850.22,54.23
48,62,12,1148,30,2557.20,149.62
14,23,2,498,38,3121.74,100.88
8,54,6,1250,61,1521.83,71.73
27,56,13,986,60,3888.83,112.42
7,82,2,416,2,190.51,8.33
49,12,30,1418,27,1168.87,50.67
15,47,24,1547,81,6883.59,302.74
7,85,3,1058,4,43.14,2.93
26,96,13,1542,50,4822.18,251.13
48,75,28,1143,14,843.78,4.74
39,98,25,1473,7,569.90,20.25
31,17,1,886,96,1411.42,54.92
17,82,25,781,78,2359.66,85.74
13,9,3,521,80,5653.05,129.01
22,18,23,1629,7,464.18,5.83
5,20,14,1526,84,7392.09,322.97
9,27,10,48,90,6082.22,526.56
3,94,23,1017,5,474.72,18.62
33,59,17,1742,16,1251.90,82.36
36,51,8,822,95,5148.04,360.02
29,21,3,516,49,1304.37,110.05
44,70,11,729,96,2162.18,150.09
23,21,18,847,17,862.82,39.50
19,36,27,905,22,544.50,21.01
3,20,30,1707,64,4830.52,15.45
32,87,6,1559,11,418.69,40.00
14,96,12,53,73,7286.92,265.78
47,19,11,1251,63,5091.19,40.91
14,44,16,813,6,79.34,6.42
25,44,10,1607,10,545.74,42.22
12,56,8,637,30,135.71,7.20
9,95,27,1537,57,1688.39,79.79
11,82,10,1680,76,2272.22,52.23
44,82,8,1416,80,1018.18,94.39
6,97,16,1650,49,1325.88,95.45
2,57,6,1815,54,1281.92,94.26
2,45,16,663,38,425.62,19.61
36,84,9,1294,86,3805.13,260.79
17,68,18,157,68,5811.81,476.46
24,76,17,211,23,1454.93,70.31
1,47,14,194,67,2190.13,146.07
8,92,18,867,43,737.54,57.34
11,4,13,549,29,2356.01,207.40
48,87,2,1716,43,3393.93,313.43
22,45,13,597,73,800.91,63.21
11,93,26,151,64,4607.99,439.97
21,34,13,585,32,1386.12,99.58
34,85,14,1768,58,520.95,19.49
47,79,1,644,70,760.39,32.91
14,2,7,103,1,12.64,0.07
22,57,9,210,26,1391.34,12.67
25,62,27,343,40,2037.03,50.91
19,97,19,882,22,820.96,64.18
8,7,3,457,47,413.84,23.13
3,100,24,1059,34,1370.95,64.03
1,74,21,1478,100,2120.55,18.40
27,98,7,1328,61,4253.64,194.45
45,27,21,505,7,480.94,12.22
49,15,26,262,17,1383.06,84.11
20,24,18,552,5,357.81,28.79
37,32,16,1286,40,2736.48,68.34
30,84,6,1068,29,1742.01,131.37
32,55,24,1215,78,1409.88,137.92
37,86,5,1407,21,1172.03,35.48
41,39,6,1702,42,2840.80,183.96
44,15,17,1008,21,1236.01,69.06
37,45,13,1685,10,468.41,21.21
50,74,18,1396,25,2253.40,110.08
16,17,19,308,63,2291.05,2.30
43,92,24,736,73,6342.98,334.12
3,13,9,290,28,110.21,0.95
30,80,20,753,76,7112.35,614.70
15,86,24,1740,34,653.68,5.44
32,48,28,1679,99,9668.53,807.13
33,86,14,1225,54,4297.76,55.54
19,14,28,920,30,10.50,0.72
41,96,15,588,24,2188.62,113.96
27,97,18,150,14,549.75,38.81
35,86,4,1332,70,2151.28,55.03
40,5,10,1487,20,1021.01,26.88
12,78,25,1388,62,1291.98,58.73
23,15,12,998,11,1050.44,80.90
31,55,3,1028,68,3257.54,158.91
34,55,6,441,96,6417.76,136.25
32,25,30,659,9,388.69,37.74
23,42,27,350,82,4877.07,409.31
28,66,25,1023,58,3357.33,140.55
36,31,15,911,52,4155.82,217.09
28,38,8,1202,60,326.30,17.52
39,44,29,1734,27,1643.99,20.85
13,87,28,564,73,2809.26,22.90
31,81,3,580,64,109.57,5.86
25,48,10,948,65,755.33,17.14
3,98,5,719,52,957.22,40.78
46,8,1,1357,3,86.23,7.73
27,37,12,1640,32,792.49,58.25
50,32,29,1589,64,2587.22,46.17
39,19,23,1443,31,882.56,27.95
3,69,26,1330,17,300.39,10.66
18,97,24,1420,78,3596.72,13.41
31,19,17,1267,43,896.81,14.61
25,65,7,196,18,853.48,72.66
22,30,6,900,84,1878.65,39.34
42,46,4,1376,46,708.76,39.55
1,72,8,1008,86,2552.39,159.89
43,14,12,36,8,545.54,31.22
21,53,22,953,74,3948.72,172.51
7,21,20,1587,85,709.80,2.13
35,70,6,94,42,3720.09,178.72
9,45,19,193,33,1186.31,17.90
2,56,8,132,24,1693.67,157.43
34,75,18,347,55,2999.40,105.59
50,27,20,1283,32,1097.29,47.89
15,35,22,399,70,6430.64,493.66
47,65,4,1270,45,4242.38,211.65
30,45,12,327,39,1751.37,146.80
22,70,16,1121,11,429.68,4.89
42,73,21,1067,41,2701.90,88.45
11,70,23,395,47,1107.01,92.96
22,86,17,268,80,64.80,0.51
29,69,17,994,57,1210.89,7.38
6,40,11,1047,42,2462.85,177.91
13,55,22,1719,24,974.46,12.49
47,40,1,1707,52,4329.68,49.88
33,91,29,550,71,5958.69,418.97
43,22,14,537,13,658.46,62.56
33,58,3,1171,96,2550.81,242.85
14,90,2,933,74,2569.70,182.13
25,57,3,492,35,1182.13,116.62
44,18,5,696,78,7037.37,421.04
11,20,29,758,68,5717.96,17.75
41,31,29,1635,100,4749.91,149.47
1,42,15,262,51,4247.57,219.74
16,88,16,792,8,480.31,3.74
21,19,19,284,70,6424.55,89.47
30,40,12,337,75,3788.19,148.35
42,2,8,395,3,95.52,7.34
26,74,15,1531,13,1270.67,15.16
45,22,27,512,67,5029.82,361.27
28,69,21,1544,26,1340.61,93.45
8,99,5,737,74,5743.17,246.36
30,55,7,1197,86,3208.61,12.88
13,26,20,1033,91,7473.57,41.54
40,29,29,1215,31,2906.84,181.63
40,20,28,1806,87,6726.72,1.80
33,80,22,1113,98,4376.06,6.44
18,98,20,1007,60,2633.81,22.67
21,90,22,1501,24,1680.44,162.84
21,96,30,229,67,5273.43,519.51
2,93,27,723,39,3238.18,270.50
37,34,11,59,57,1631.33,40.04
38,56,29,942,40,3367.94,210.15
28,60,11,1406,21,670.73,0.86
45,93,30,982,65,707.42,63.51
19,66,18,1366,59,227.77,9.42
32,83,26,39,55,4649.25,245.37
45,85,18,773,93,1108.47,45.67
39,12,14,1372,77,5656.00,65.78
32,49,16,1041,49,1680.25,31.94
32,77,24,519,88,4226.10,344.90
4,2,15,458,70,2131.67,119.87
39,8,24,812,28,2628.58,229.49
40,62,13,1498,22,1154.70,8.90
46,74,13,53,85,3737.60,313.58
36,43,10,869,73,2359.02,220.88
45,65,21,600,11,458.86,16.82
22,22,6,1620,13,934.21,71.01
4,10,17,167,97,8999.38,203.31
10,88,30,404,3,261.15,24.72
31,98,29,1016,68,5644.67,202.13
16,3,18,1133,89,5418.67,435.74
2,43,25,732,41,3449.50,322.08
12,87,2,1671,2,67.70,5.97
29,74,2,161,60,1349.07,28.76
9,58,30,1069,17,709.96,65.24
4,11,11,361,57,2263.82,3.53
10,82,26,1514,85,3860.35,192.93
2,16,6,1753,68,3552.74,332.72
29,38,28,1539,59,714.91,67.39
9,69,5,1294,36,1032.87,12.88
24,96,10,889,18,457.12,14.28
38,93,25,1602,36,668.32,55.23
45,46,5,1455,85,1639.21,126.85
5,56,15,868,88,7052.19,463.01
5,20,5,510,69,4240.49,171.41
22,63,11,171,40,3159.43,44.88
4,24,21,661,56,4580.31,98.72
25,18,19,1213,28,1125.30,76.18
36,46,8,1686,13,1212.52,6.36
42,12,20,1569,73,3678.19,357.58
41,71,21,240,93,4846.45,188.07
48,42,6,1350,84,7463.00,25.33
46,6,17,542,60,4136.50,307.61
23,55,1,1794,45,2009.46,147.78
48,35,9,1615,74,1644.87,24.90
28,67,27,1133,1,39.58,0.06
48,68,7,1090,19,491.59,42.86
46,46,17,274,85,8238.84,787.67
24,50,2,441,67,2162.78,176.91
20,44,28,1741,36,272.15,3.71
31,25,7,117,14,272.99,8.45
5,93,26,1731,81,3586.64,293.90
13,83,22,342,58,5646.19,23.90
20,78,18,1220,46,126.99,5.53
3,38,29,451,61,4377.26,397.53
16,43,17,1656,30,462.03,21.41
3,48,28,785,49,889.49,65.37
34,80,18,540,18,1373.60,20.13
2,16,8,1338,17,50.83,2.87
13,11,25,1077,87,7795.75,670.10
12,28,28,558,63,1934.08,86.83
37,36,23,238,63,3403.57,32.50
23,44,17,1792,62,3681.71,62.89
10,78,2,369,13,316.60,7.17
46,1,19,143,9,401.25,15.27
15,57,27,821,7,406.05,10.82
6,18,28,1772,1,86.31,5.74
40,79,20,833,45,3368.97,326.93
46,98,13,535,11,113.52,1.87
22,38,15,496,56,2342.32,47.58
21,25,29,718,28,1333.34,45.07
29,18,17,1199,63,1373.81,75.43
7,92,14,991,86,6513.11,453.23
16,1,16,1145,59,5376.91,3.73
33,54,2,686,11,947.27,41.01
6,72,26,1328,64,3472.25,25.74
22,86,16,1351,65,2154.33,117.59
39,77,20,860,55,4410.22,185.80
8,40,18,916,83,5044.00,102.61
1,42,26,548,24,193.49,14.09
39,95,11,111,1,41.89,0.34
3,34,16,806,41,3929.52,58.05
22,98,16,831,83,1307.69,76.06
8,63,13,1693,62,1507.29,107.69
17,90,29,1773,72,498.52,5.42
14,70,26,1640,90,6358.37,434.39
12,10,19,65,79,853.58,47.68
41,19,3,621,51,1778.41,156.62
4,61,17,1503,95,1569.13,136.59
29,20,7,1259,38,1111.15,78.38
20,86,10,795,13,1251.89,118.41
11,6,27,35,43,2263.57,45.85
1,98,18,1593,10,639.63,51.39
17,14,21,1539,33,303.93,30.02
23,32,27,954,7,666.55,7.73
5,56,25,31,34,2380.62,74.19
17,22,21,1658,72,2823.28,115.52
9,85,19,474,8,26.75,1.92
22,88,21,1161,36,3075.36,24.48
1,60,6,604,46,3861.13,79.75
34,83,18,809,87,5310.33,495.75
36,58,28,1677,17,624.38,45.75
23,77,8,1099,46,3679.06,246.29
11,59,8,1557,47,2361.48,89.14
27,95,1,817,68,2450.82,2.75
23,9,20,677,20,762.90,69.25
43,42,2,1782,90,1863.45,111.62
43,83,20,685,83,8192.80,813.83
9,94,25,1473,75,7168.69,68.34
6,85,11,82,98,5581.72,512.85
6,11,11,1440,6,310.19,17.45
46,85,12,62,13,623.29,28.38
28,99,3,644,70,6864.82,500.44
40,6,2,1598,40,2737.37,26.13
39,10,6,904,82,3843.79,136.43
44,40,30,1031,71,6616.86,584.56
32,52,12,597,74,2541.88,40.47
42,21,6,162,6,123.55,10.52
32,44,6,565,46,3195.43,111.92
14,80,20,1303,92,8177.23,283.04
45,59,13,381,82,17.95,0.37
43,48,5,1079,98,856.18,75.87
23,52,27,1008,52,483.63,14.56
36,6,23,452,33,2958.13,119.66
23,91,19,383,28,1189.21,24.65
40,53,25,105,37,1562.26,93.16
20,44,24,1404,54,4338.18,204.70
21,31,14,332,25,921.75,15.95
8,9,30,1429,93,7291.82,539.00
8,13,24,1628,100,6604.09,409.40
18,95,27,481,50,903.50,16.99
35,18,28,1461,32,2175.36,163.59
50,31,21,129,32,3188.85,231.00
13,38,30,364,28,2121.21,1.13
26,89,13,779,27,2465.93,128.67
5,21,17,1184,65,2095.43,45.39
4,31,19,1739,99,7983.43,741.54
17,99,29,51,83,303.66,19.53
43,100,19,1540,16,1595.21,28.95
4,39,17,1374,86,3843.00,97.14
13,72,3,397,50,1433.07,30.80
45,93,19,1233,94,3041.10,179.49
35,78,2,1141,4,23.57,2.27
21,28,2,1351,47,1783.96,32.90
19,84,25,552,44,834.18,49.59
23,6,6,839,71,7095.15,124.00
50,32,13,1457,30,264.56,13.91
3,54,9,429,29,2062.79,47.13
29,74,6,807,35,1136.32,86.82
15,37,17,449,67,1817.28,88.45
29,43,13,1572,52,4340.53,346.81
6,77,2,574,5,336.38,27.12
38,10,17,746,38,665.09,32.27
5,72,17,354,58,1518.14,63.84
33,99,8,522,28,197.40,12.72
40,74,15,603,58,5342.49,66.21
50,24,14,203,11,427.23,15.49
29,97,14,505,64,3595.00,80.86
19,97,3,1750,86,4714.91,258.79
48,2,17,734,8,743.80,23.10
27,39,14,1250,14,931.90,17.24
9,38,15,1729,70,368.06,25.62
28,62,10,169,88,6507.67,418.11
8,40,24,1455,88,8168.52,353.77
28,19,25,1716,42,2499.12,206.10
3,55,16,1357,96,2115.89,24.31
24,73,16,291,20,369.97,33.83
35,71,21,1548,12,622.51,40.63
22,87,8,111,20,834.83,31.93
44,1,16,1515,66,2557.09,253.09
31,67,14,1706,27,396.87,0.69
44,72,10,412,90,573.66,50.76
19,83,4,432,41,1981.43,21.62
3,52,3,64,47,1410.32,118.65
19,96,14,330,32,1131.59,89.10
14,4,3,1469,49,2614.51,249.02
12,48,24,1442,23,2121.77,16.26
33,9,27,281,5,188.46,9.69
34,46,30,944,29,2428.23,121.26
41,89,16,1064,98,842.16,55.74
35,55,19,1329,68,4596.81,451.69
29,100,9,1545,39,24.05,0.49
4,60,21,1272,23,17.03,1.30
31,25,13,948,69,6077.19,361.14
5,78,23,1638,84,415.49,6.79
14,31,6,1762,62,5621.95,402.83
4,24,24,833,57,4950.59,113.24
6,53,4,874,69,149.40,8.34
5,53,7,1621,27,2530.29,96.09
48,11,25,965,50,2774.24,200.14
43,75,8,1583,8,39.01,0.47
6,19,8,1486,33,2619.87,181.75
12,87,7,1539,44,2618.94,64.27
46,26,23,1462,62,3736.67,345.26
44,45,23,478,10,115.81,4.05
4,76,14,936,65,1834.05,182.16
44,40,29,119,67,5563.86,206.70
39,81,30,1677,57,443.69,28.79
10,97,20,103,99,1331.09,90.27
17,93,30,1103,30,2099.61,91.81
6,43,9,690,94,9273.68,739.94
29,50,1,686,77,6232.29,256.34
42,55,28,1142,5,153.05,10.03
31,85,25,1032,21,1148.04,28.37
29,85,13,338,56,1563.34,90.27
31,14,2,677,45,570.92,45.92
42,33,13,93,63,2347.10,11.56
37,83,6,68,25,816.13,23.08
27,90,12,263,44,1559.56,8.08
19,47,20,1481,36,2166.57,10.79
50,37,14,1750,77,208.33,5.85
17,5,1,720,46,4154.32,343.41
16,41,27,1461,100,937.84,18.45
29,87,23,759,29,862.66,22.71
12,2,4,693,60,5648.12,298.51
29,5,28,1733,30,2725.06,246.79
29,95,17,1625,68,3353.58,137.53
45,46,18,287,33,1095.39,100.76
24,56,25,843,63,386.57,4.00
17,3,8,325,91,8304.10,49.63
17,61,22,63,75,6797.97,635.31
10,95,16,1047,78,5224.50,343.84
26,64,6,633,40,1815.96,163.22
49,48,6,1012,27,1976.28,92.78
6,3,8,556,50,4512.45,327.78
2,18,27,663,27,234.11,5.62
9,14,1,543,10,64.88,4.33
33,67,18,1131,80,5301.51,291.59
42,20,18,999,47,1069.14,30.35
33,29,24,981,1,99.73,1.87
21,74,12,1673,42,1064.43,84.39
38,67,4,409,29,41.04,3.70
5,90,3,1187,3,164.59,5.34
25,13,3,1555,73,2866.01,7.72
18,80,12,159,73,136.39,4.24
48,4,15,1468,82,782.66,19.65
5,69,8,1200,39,2996.24,88.43
12,75,14,87,5,387.34,20.07
35,41,26,1661,91,7031.45,493.49
30,13,17,1305,44,1138.11,57.07
45,87,23,1384,11,573.45,29.65
28,83,21,575,12,602.76,43.70
1,58,26,1411,77,6023.83,393.56
43,34,7,299,76,6952.84,437.87
29,8,10,758,57,5007.03,461.84
48,35,13,1730,99,4245.97,212.08
11,47,9,957,52,1558.52,11.79
17,54,29,441,60,1453.38,77.89
5,1,30,865,97,3980.08,236.11
16,91,22,1708,78,486.00,2.85
42,65,16,196,18,1149.92,82.41
43,44,12,1324,80,1856.61,16.89
11,75,28,750,64,6368.83,120.96
9,68,19,260,79,7342.15,229.49
11,44,28,321,92,3717.44,219.07
28,60,26,1790,85,6463.72,446.92
24,17,13,979,94,5038.63,202.46
22,24,15,754,31,2356.26,203.76
28,9,21,230,27,1788.59,51.39
9,20,21,338,26,2478.03,118.06
2,54,20,1170,10,347.80,16.94
30,32,22,918,11,484.39,7.01
39,99,23,692,88,7015.15,160.44
38,96,29,937,75,1661.33,162.11
46,14,5,1062,51,4338.01,51.41
50,46,10,717,56,2794.27,252.17
32,18,27,1018,84,5392.75,202.45
47,12,8,978,46,1578.82,90.09
48,95,29,549,37,1891.08,137.00
29,53,9,1344,76,4064.31,18.07
11,58,8,1240,38,3368.83,321.61
1,15,2,518,36,3034.30,30.48
37,3,10,1281,52,912.65,50.97
12,37,11,496,76,6991.76,129.70
10,1,24,354,33,1734.38,45.33
48,99,6,178,88,3955.04,60.68
35,79,18,287,16,524.12,24.66
16,77,29,1429,21,3.64,0.13
3,82,23,211,27,2105.87,27.93
34,43,5,1317,41,4077.64,217.23
37,28,5,701,27,591.39,53.84
30,28,23,613,30,1895.70,97.01
47,66,13,499,6,430.85,20.48
19,25,3,1812,53,5041.15,393.18
9,97,11,593,1,92.46,4.08
20,44,11,359,53,3793.61,8.13
9,83,1,1235,82,5318.59,483.94
26,93,5,392,38,1744.66,78.47
28,81,23,1321,76,165.43,7.81
13,19,6,1536,62,545.03,43.61
14,11,27,528,9,319.22,21.70
31,41,5,1015,32,1016.28,0.28
14,11,28,1134,7,202.87,3.58
29,55,30,796,34,2699.37,207.60
43,35,23,1493,47,2889.38,182.29
14,30,13,604,36,1358.44,33.42
2,73,18,1428,28,1920.13,9.38
23,1,22,684,31,2076.37,5.98
5,39,20,1427,23,1667.28,155.54
43,19,28,1624,43,1176.76,45.08
11,68,2,707,45,1282.26,110.48
41,95,8,913,38,1538.02,100.87
47,35,24,436,87,2739.42,221.50
34,100,4,1613,62,5930.89,323.27
21,42,11,1659,34,1755.97,35.15
46,7,1,247,67,2918.00,164.26
1,67,7,105,87,2754.05,268.96
32,31,2,1169,66,4814.90,63.63
18,11,25,533,88,4411.34,436.98
31,72,30,751,94,89.59,0.18
18,75,2,1104,10,219.33,11.26
16,8,17,175,5,144.33,13.87
43,28,6,771,80,795.27,55.75
32,7,5,159,59,366.13,20.14
20,24,30,312,13,1180.39,100.45
30,44,29,1170,47,2993.97,237.94
9,74,29,669,44,2710.93,206.11
18,24,20,1579,7,121.81,10.07
34,61,7,1775,76,585.75,33.06
17,33,7,35,61,1014.61,34.47
18,26,15,39,28,502.55,9.66
37,87,1,1394,30,1364.99,72.11
11,37,18,1018,60,960.53,57.58
6,13,30,745,52,412.09,12.34
20,77,7,1116,23,1491.68,25.55
1,41,15,409,55,1193.93,10.68
2,6,8,847,9,354.31,7.27
25,13,15,1552,9,592.72,55.71
50,20,9,75,39,2426.74,62.88
45,57,8,1434,23,816.62,65.38
4,26,11,1681,5,280.09,14.64
6,17,23,424,10,114.50,0.99
49,42,3,20,14,1359.36,23.51
48,49,6,129,92,8376.30,159.26
21,38,2,920,10,777.24,36.34
29,48,15,1143,69,3317.79,84.81
18,87,13,1728,85,1853.10,160.68
49,5,23,139,89,1600.32,11.83
50,19,25,1202,21,1388.84,21.67
43,96,29,1199,39,3669.38,222.66
38,75,8,509,73,1066.82,95.27
14,14,26,662,46,4425.49,53.65
27,100,28,62,3,16.76,0.74
32,5,12,861,50,768.79,72.53
28,47,17,428,15,1151.66,69.73
35,55,22,1170,9,13.22,0.20
43,48,6,1626,36,432.20,6.60
44,44,3,614,66,6370.38,463.55
5,23,7,1728,34,393.30,3.35
13,97,21,1151,29,103.29,5.77
6,83,13,311,43,154.18,3.76
14,22,12,62,47,2373.78,71.46
39,24,16,601,42,3877.60,15.23
14,20,23,1542,51,186.85,15.45
6,44,28,979,34,2136.51,75.05
1,90,17,886,91,981.12,66.91
29,45,23,1761,3,206.41,2.92
24,94,7,1440,58,2715.38,92.38
48,23,23,723,63,2069.38,17.93
38,4,3,461,97,2884.10,171.20
18,7,5,793,62,5857.95,554.20
50,44,25,404,25,883.52,20.14
4,5,26,978,76,1158.73,30.11
10,32,10,895,9,253.59,8.39
29,87,18,1781,94,1619.10,91.61
37,35,20,1205,50,4261.72,403.52
36,62,29,106,57,3792.24,141.59
10,6,30,458,40,455.75,28.75
37,28,4,401,34,1192.16,96.40
23,19,13,756,92,6140.71,280.40
10,43,21,932,79,7220.81,218.66
47,71,26,959,34,1709.97,7.97
23,67,3,893,84,595.06,27.93
4,87,2,1054,10,753.47,14.20
8,84,29,1343,30,1381.95,87.43
28,55,4,1030,58,1283.74,13.11
37,29,3,120,59,4873.98,182.29
46,70,25,292,39,2683.62,70.65
40,86,7,876,80,4816.39,95.41
8,3,7,926,31,740.64,50.28
40,43,27,1565,74,6095.22,199.44
7,100,8,1561,15,1484.72,108.46
22,24,21,427,66,129.14,11.00
40,37,12,1236,82,5143.88,63.27
5,59,1,1639,95,7405.81,614.27
33,20,14,371,62,6064.59,313.11
40,19,28,174,56,3374.43,123.25
45,82,5,685,58,3990.17,234.14
45,59,14,154,72,4530.17,74.68
50,59,28,36,76,2639.73,145.94
37,56,13,596,93,1253.45,123.12
4,56,4,1784,86,6293.45,124.67
22,71,24,212,4,41.43,2.28
10,40,17,1592,52,2762.46,58.30
35,3,18,278,93,620.39,50.19
41,25,17,1600,19,1276.65,15.36
47,37,6,1349,61,2765.38,27.44
41,92,1,1716,11,208.91,7.61
24,64,27,1644,9,513.88,33.09
16,31,11,1795,34,717.75,31.71
13,79,21,950,88,4690.41,126.83
49,34,28,712,62,1766.14,98.78
9,90,20,1527,49,2396.77,72.15
9,22,20,1625,10,211.00,0.83
12,93,12,1381,15,811.20,43.40
20,46,3,1781,13,274.86,5.66
50,99,18,408,54,1271.50,51.83
26,43,21,878,40,2252.03,156.31
5,87,1,1696,31,1275.22,106.54
34,99,1,1656,79,6836.34,104.77
21,75,5,354,72,6292.41,608.86
2,45,3,1440,38,3289.22,51.56
50,88,19,863,5,33.43,2.71
7,15,19,1130,22,337.69,7.32
25,33,29,1242,91,5206.73,181.91
24,44,13,1209,49,3561.17,27.55
19,71,11,710,30,1417.75,112.26
6,73,4,1808,88,3069.95,283.29
38,48,3,660,64,247.50,18.29
35,22,21,1362,78,6746.94,32.61
42,76,28,1291,23,1997.10,133.15
50,92,14,1118,63,369.53,6.56
47,11,14,1245,80,3534.92,209.07
21,19,20,536,55,3110.21,142.94
32,39,22,467,52,5093.28,149.57
20,62,11,1760,21,1589.53,43.43
45,85,29,1354,99,6870.50,468.59
16,22,2,553,81,4061.43,316.29
31,2,1,84,15,318.55,28.96
42,36,19,134,6,571.97,35.92
33,17,23,1820,87,1514.46,134.25
48,58,21,159,2,90.67,6.60
34,14,15,741,57,1000.46,38.59
46,6,6,90,41,2403.12,213.02
44,25,2,554,33,3249.31,211.70
49,27,21,314,48,3190.16,298.59
29,79,30,1424,29,2592.69,9.04
24,55,25,222,40,853.70,48.34
10,6,10,701,14,1398.39,54.28
8,34,30,654,100,9169.17,388.81
2,2,25,1601,59,4514.28,449.46
31,55,21,75,3,179.59,6.56
6,29,12,1392,71,333.45,15.05
33,35,26,327,50,778.88,70.34
31,92,26,393,33,1812.52,12.00
25,32,14,521,75,2679.99,80.52
43,28,17,1073,31,1750.22,4.76
9,75,6,863,51,2334.59,162.52
36,81,7,733,97,6802.17,280.45
13,14,21,1717,62,1497.33,32.76
